CBSAFP,GDP pc,Diversity,Log_GDPpc
10100,52865.8135,64,4.72317492
10140,30368.59758,68,4.482424737
10180,35943.28197,62,4.55561773
10220,42392.65955,59,4.627290663
10300,27225.58953,60,4.434977293
10420,45819.61381,85,4.661051424
10460,37645.9839,59,4.575718652
10500,34259.54659,70,4.534781611
10540,34201.05639,70,4.534039521
10580,60734.72817,84,4.783437092
10620,26787.00949,62,4.427924232
10660,37279.19582,57,4.571466535
10700,31816.00664,49,4.502645669
10740,41762.78158,64,4.620789417
10780,35487.30556,66,4.550073026
10820,50285.07615,66,4.701439112
10860,32491.21487,30,4.51176595
10900,48330.59117,88,4.684222107
10940,28616.92357,53,4.456622944
10980,33857.55145,60,4.529655547
11020,42813.92643,76,4.631585058
11060,36047.04175,45,4.55686963
11100,46883.82584,82,4.671023044
11140,29597.18976,60,4.471250477
11180,48695.35728,57,4.687487557
11220,35291.49913,57,4.547670107
11260,59496.4457,74,4.774491022
11380,278525.5134,33,5.444864983
11420,36132.37519,62,4.557896511
11460,57547.17135,64,4.760023981
11500,33425.25818,63,4.52407477
11540,52898.51929,68,4.723443516
11580,25003.64359,44,4.3980033
11620,54954.99062,58,4.740007138
11660,30820.96012,41,4.488846164
11680,35473.92182,44,4.549909205
11700,37915.06073,84,4.578811756
11740,28479.72405,60,4.454535777
11780,28285.99804,60,4.451571507
11820,40971.21243,58,4.612478816
11860,36229.66536,44,4.559064323
11900,28028.0112,53,4.447592282
11940,35688.00881,47,4.552522317
11980,19559.13307,59,4.291349601
12020,41320.70574,71,4.61616773
12060,59286.11448,93,4.772952988
12100,46088.31564,47,4.663590837
12140,56261.60624,48,4.750212127
12180,33659.17164,73,4.527103424
12220,33034.82684,64,4.518972035
12260,40144.74674,76,4.603628722
12300,40182.65069,64,4.604038582
12380,45056.52888,40,4.653757731
12420,61199.62255,87,4.786748744
12460,26217.30005,55,4.418587964
12540,52126.48253,80,4.71705842
12580,63803.22616,84,4.804842639
12620,37598.70954,71,4.575172939
12660,51938.04517,51,4.7154856
12680,31856.38333,40,4.503196469
12700,54045.30764,73,4.732757993
12740,56442.2083,61,4.751603997
12780,159630.3,36,5.20311533
12820,24819.07298,52,4.394785556
12860,38950.00345,66,4.5905075
12900,44143.53062,49,4.644867065
12940,65690.07422,67,4.817499753
12980,43262.83468,56,4.636114972
13020,32227.62663,78,4.508228324
13060,55644.18598,51,4.745419793
13100,37549.34789,58,4.574602399
13140,59757.67003,75,4.776393656
13180,36849.58507,59,4.566432602
13220,29731.849,56,4.473221918
13260,27925.52678,56,4.446001374
13300,24983.63952,58,4.397655705
13340,40837.78935,39,4.611062225
13380,49217.57527,99,4.692120214
13420,34545.22951,66,4.538388082
13460,43100.65867,81,4.634483907
13500,26263.18321,37,4.419347363
13540,42178.36395,71,4.62508973
13620,34487.78442,57,4.537665295
13660,27623.82452,57,4.441283806
13700,204112.4391,54,5.309869472
13720,31426.5264,46,4.497296381
13740,52542.79422,84,4.720513165
13780,40875.32093,81,4.611461176
13820,48486.31604,81,4.685619188
13900,54491.80378,77,4.736331184
13940,25172.82016,52,4.400931873
13980,27008.95102,55,4.431507717
14010,75994.7282,45,4.880783466
14020,37636.61484,55,4.575610555
14100,48147.7515,48,4.68257601
14140,26373.58065,68,4.421169096
14180,50120.10359,47,4.70001196
14220,22512.99177,47,4.352433213
14260,40654.69367,85,4.609110693
14340,35204.66066,54,4.546600162
14380,34378.45171,54,4.536286314
14420,477273.7697,40,5.678767567
14460,80396.53502,85,4.905237332
14500,73802.99974,78,4.868074014
14540,36291.75714,74,4.559807996
14580,45920.42781,87,4.662005925
14620,48662.02249,56,4.687190155
14660,37699.9903,68,4.576341238
14700,32451.70949,54,4.511237579
14720,69971.15102,35,4.844919018
14740,40679.05125,76,4.609370815
14780,42976.44719,60,4.63323051
14820,30144.97652,62,4.47921495
14860,84729.7883,79,4.928036121
15020,29419.65974,55,4.468637645
15060,24116.17836,48,4.382308487
15100,61790.78293,50,4.790923698
15180,23020.1761,59,4.362108642
15220,33163.33824,48,4.52065824
15260,33226.97594,58,4.521490817
15340,30043.02071,55,4.477743597
15380,52590.76801,95,4.720909513
15420,51728.6667,54,4.713731285
15460,49549.56231,49,4.695039823
15500,34776.11968,72,4.541281122
15540,56912.04916,95,4.755204223
15580,38482.57018,56,4.58526407
15620,30386.665,54,4.482683038
15660,33410.43585,45,4.523882141
15680,59003.92364,43,4.770880892
15700,37168.65006,47,4.570176788
15740,49953.23292,58,4.698563601
15780,31260.90236,42,4.49500151
15820,29817.5059,40,4.474471314
15860,26649.83952,62,4.425694598
15900,23917.03758,54,4.378707386
15940,42936.99135,93,4.63283161
15980,38182.28613,71,4.581861928
16020,41218.90691,67,4.61509647
16060,38918.27959,61,4.590153634
16100,111943.904,48,5.049000449
16180,53684.62714,71,4.729849941
16220,64837.13669,74,4.811823827
16260,26866.84755,64,4.429216711
16300,62848.75036,54,4.798296647
16340,25798.2878,38,4.411590883
16380,55691.69447,49,4.745790432
16460,30943.1642,58,4.490564722
16500,34948.8326,72,4.543432674
16540,35047.16834,68,4.544652935
16580,46840.8458,71,4.670624728
16620,49937.49455,72,4.698426749
16660,46135.0791,61,4.66403127
16700,47930.94989,84,4.680616036
16740,57147.86295,90,4.756999995
16820,27521.89026,76,4.439678259
16860,46497.07999,87,4.66742568
16940,51319.2607,71,4.710280391
16980,62976.16526,101,4.799176212
17020,35739.15446,68,4.553144273
17060,31384.41629,54,4.496714056
17140,58193.52647,84,4.764874676
17200,48295.24996,64,4.683904418
17220,61449.84615,64,4.7885208
17260,27722.81789,53,4.442837372
17300,36105.02031,63,4.557567594
17340,27280.90187,54,4.435858723
17380,29976.51615,56,4.476781158
17420,35224.87959,53,4.546849517
17460,55086.68751,83,4.741046658
17500,31413.67185,53,4.497118703
17540,45049.91012,50,4.653693929
17580,54833.49227,58,4.739045906
17660,34549.44166,83,4.538441033
17700,42648.6758,50,4.629905551
17740,28274.21693,55,4.451390586
17780,50761.44702,81,4.705533994
17820,43243.40004,78,4.635919833
17860,46056.52994,61,4.663291214
17900,45130.93106,82,4.654474293
17980,40999.68711,66,4.612780542
18020,68609.59295,35,4.836384843
18060,43739.92477,69,4.640878032
18100,69513.91499,53,4.842071748
18140,54455.71556,73,4.736043469
18180,58731.50369,78,4.76887112
18220,22617.26749,46,4.354440134
18260,32112.28961,67,4.506671272
18300,30768.00871,59,4.48809939
18380,30548.42234,49,4.484988786
18420,29147.80229,54,4.464605815
18460,30029.34384,52,4.477545843
18500,41495.10699,58,4.617996889
18580,45027.51522,61,4.653477982
18620,30168.50195,57,4.479553745
18660,35716.37122,58,4.552867328
18700,43006.48507,61,4.633533949
18740,39483.09732,48,4.596411214
18780,80206.30939,61,4.904208533
18820,41241.37029,53,4.615333087
18860,25763.01295,42,4.410996652
18880,47159.82357,61,4.673572172
18900,24889.05954,48,4.396008487
18980,30966.10622,63,4.490886599
19000,29871.82554,36,4.475261764
19060,35229.17337,65,4.546902453
19100,60380.77092,92,4.780898654
19140,45103.00343,41,4.654205463
19180,37913.28994,59,4.578791472
19220,27143.41962,36,4.433664561
19300,30157.96946,64,4.479402097
19340,50518.2189,66,4.70344803
19380,46410.16376,75,4.666613101
19420,49883.33846,39,4.697955511
19460,35666.8571,64,4.552264842
19500,64598.55654,59,4.810222814
19540,42376.61858,53,4.627126299
19580,45981.81437,47,4.662586104
19620,32232.16294,51,4.50828945
19660,28201.96228,70,4.450279327
19700,31233.08579,50,4.494614894
19740,62905.64561,94,4.798689624
19760,25037.05304,49,4.398583209
19780,71566.01309,58,4.854706824
19820,52955.63579,69,4.723912187
19860,76793.38656,63,4.88532382
19940,39899.64927,58,4.600969078
19980,53050.36869,40,4.724688407
20020,38025.14299,66,4.580070856
20060,29967.24443,51,4.47664681
20100,39102.92603,61,4.592209256
20140,28565.47765,52,4.45584149
20180,31027.58449,74,4.491747967
20220,56925.61377,72,4.755307722
20260,43780.36439,77,4.641279372
20300,88782.09631,25,4.948325395
20340,33701.82091,45,4.527653366
20380,16913.66895,60,4.228237826
20420,65581.79917,67,4.816783327
