Year,Poor,Middle,Wealthy
1975,122.004702,119.6340341,117.3221666
1976,121.4870045,118.9063564,116.9339963
1977,121.4679389,119.1794101,116.9197369
1978,121.3598641,119.169845,117.6846362
1979,122.4177569,119.8165586,117.8193368
1980,121.5678023,119.0821625,117.3276343
1981,120.7552465,118.0494054,116.0364614
1982,122.6993904,119.8632839,118.1878883
1983,122.140227,119.574803,117.6886538
1984,120.7726145,118.4469684,116.4533511
1985,119.3514279,116.8322807,115.5111951
1986,117.6044949,115.9539427,114.4678213
1987,120.591043,118.4281987,116.8442648
1988,115.4290921,113.8528074,113.1412909
1989,119.3519755,117.4619598,115.9813821
1990,118.5221087,116.3884197,114.9323493
1991,115.9817682,114.6028954,113.3969554
1992,116.0866842,114.2191084,113.1099173
1993,114.9517893,113.0943544,112.2389304
1994,114.8021268,113.0853361,112.3303948
1995,114.7764048,113.2014896,112.3935109
1996,114.7630087,113.1886269,112.5403714
1997,114.3364237,112.2665343,111.3253173
1998,109.0839417,108.0254568,108.2456597
1999,108.8150526,107.8405395,108.3371558
2000,108.7839078,107.7437244,108.273149
2001,108.8136278,107.7981783,107.8747403
2002,108.712845,107.6936478,107.8105426
2003,108.1118516,107.2765174,107.6869566
2004,108.0038862,107.2141675,107.2927887
2005,108.035786,107.0408087,107.1045184
2006,108.1444621,107.0164475,107.1644851
2007,108.0205092,107.0526584,106.9679035
2008,108.1046451,107.0903826,107.0393594
2009,108.2905275,107.123786,107.0005181
2010,108.1937061,107.1235658,107.0848516
2011,108.1840586,107.0268322,107.2141044
2012,108.2624713,107.0096547,106.9598687
2013,108.2022012,107.0800229,106.9999996
2014,108.1877978,106.957196,106.9663975
2015,108.1045654,106.9633931,106.7555629
2016,108.0362462,106.9585153,106.8810958
