Source,Target,Type,Weight
1133,2382,Directed,0.244448
1133,2389,Directed,0.263583
1133,3221,Directed,0.213335
1151,3111,Directed,0.415718
1151,8139,Directed,0.22978
1152,3116,Directed,0.490435
1152,3162,Directed,0.251713
1152,8129,Directed,0.332158
2111,4861,Directed,0.280403
2111,4869,Directed,0.25041
2111,6214,Directed,0.229613
2111,6223,Directed,0.224081
2121,2122,Directed,0.240503
2121,2123,Directed,0.254137
2121,2372,Directed,0.213
2121,3117,Directed,0.205175
2121,3122,Directed,0.631144
2121,3131,Directed,0.548957
2121,3151,Directed,0.424018
2121,3221,Directed,0.534234
2121,3241,Directed,0.43005
2121,3251,Directed,0.205175
2121,3254,Directed,0.348597
2121,3256,Directed,0.263167
2121,3259,Directed,0.280573
2121,3262,Directed,0.21617
2121,3273,Directed,0.26524
2121,3314,Directed,0.269416
2121,3315,Directed,0.471443
2121,3328,Directed,0.527055
2121,3331,Directed,0.490217
2121,3333,Directed,0.328543
2121,3341,Directed,0.330114
2121,3352,Directed,0.233204
2121,3365,Directed,0.324123
2121,4235,Directed,0.379911
2121,4237,Directed,0.218963
2121,4241,Directed,0.402116
2121,4245,Directed,0.312385
2121,4855,Directed,0.332907
2121,4885,Directed,0.245793
2121,4931,Directed,0.291361
2121,5211,Directed,0.506205
2121,6112,Directed,0.385814
2121,6115,Directed,0.28219
2122,2121,Directed,0.467161
2122,2131,Directed,0.219651
2122,2382,Directed,0.366491
2122,3113,Directed,0.211647
2122,3161,Directed,0.364996
2122,3162,Directed,0.260687
2122,3254,Directed,0.467161
2122,3364,Directed,0.20564
2122,3369,Directed,0.246706
2122,4236,Directed,0.339533
2122,4413,Directed,0.457821
2122,4811,Directed,0.237825
2122,4832,Directed,0.29741
2122,4842,Directed,0.310375
2122,4855,Directed,0.202829
2122,5211,Directed,0.624769
2122,5222,Directed,0.246258
2122,5241,Directed,0.272587
2122,5312,Directed,0.250867
2122,5313,Directed,0.225474
2122,5417,Directed,0.26835
2122,6115,Directed,0.224663
2122,6211,Directed,0.538854
2122,6231,Directed,0.411536
2122,6232,Directed,0.390686
2122,6233,Directed,0.448678
2122,7211,Directed,0.284821
2122,8131,Directed,0.272587
2123,3115,Directed,0.331206
2123,3121,Directed,0.20812
2123,3122,Directed,0.269754
2123,3131,Directed,0.30151
2123,3162,Directed,0.257855
2123,3221,Directed,0.200873
2123,3241,Directed,0.351962
2123,3251,Directed,0.278354
2123,3253,Directed,0.32323
2123,3254,Directed,0.24248
2123,3256,Directed,0.230836
2123,3259,Directed,0.220213
2123,3262,Directed,0.234992
2123,3315,Directed,0.256181
2123,3328,Directed,0.226363
2123,3352,Directed,0.214237
2123,3361,Directed,0.234992
2123,4232,Directed,0.270852
2123,4235,Directed,0.264034
2123,4245,Directed,0.206268
2123,4921,Directed,0.265253
2123,5241,Directed,0.269754
2123,6112,Directed,0.252025
2123,6115,Directed,0.210092
2131,2121,Directed,0.517709
2131,3131,Directed,0.220744
2131,3256,Directed,0.293976
2131,3331,Directed,0.299177
2131,4236,Directed,0.21116
2131,4237,Directed,0.276101
2131,4245,Directed,0.218255
2131,4421,Directed,0.332894
2131,4422,Directed,0.221743
2131,4531,Directed,0.201222
2131,5312,Directed,0.202984
2211,2121,Directed,0.221383
2211,2382,Directed,0.217623
2211,4854,Directed,0.233776
2212,2121,Directed,0.202831
2212,3352,Directed,0.212377
2212,4531,Directed,0.216533
2213,3131,Directed,0.243005
2213,5622,Directed,0.362531
2213,5629,Directed,0.346261
2371,2121,Directed,0.211535
2371,4247,Directed,0.204634
2371,6211,Directed,0.225237
2372,3112,Directed,0.212286
2372,3114,Directed,0.208295
2372,3122,Directed,0.333234
2372,3256,Directed,0.204139
2372,3328,Directed,0.250335
2372,3361,Directed,0.268509
2372,3362,Directed,0.201562
2372,4248,Directed,0.224425
2372,4249,Directed,0.22053
2372,4922,Directed,0.275242
2372,5232,Directed,0.247605
2379,6211,Directed,0.285411
2381,2383,Directed,0.214395
2381,5232,Directed,0.24484
2382,5232,Directed,0.224125
2383,3151,Directed,0.236695
2383,3162,Directed,0.233554
2383,3342,Directed,0.205825
2389,3162,Directed,0.20403
2389,3364,Directed,0.206974
3111,1151,Directed,0.401728
3111,3122,Directed,0.335262
3111,3251,Directed,0.210323
3111,5241,Directed,0.217163
3112,3114,Directed,0.433684
3112,3115,Directed,0.30681
3112,3121,Directed,0.272048
3112,3122,Directed,0.227629
3112,3161,Directed,0.223129
3112,3162,Directed,0.391821
3112,3221,Directed,0.255658
3112,3241,Directed,0.248384
3112,3251,Directed,0.42491
3112,3253,Directed,0.345015
3112,3254,Directed,0.246113
3112,3262,Directed,0.210596
3112,3273,Directed,0.308883
3112,3328,Directed,0.334394
3112,3333,Directed,0.262271
3112,3352,Directed,0.227629
3112,3364,Directed,0.227629
3112,3365,Directed,0.346578
3112,4248,Directed,0.21573
3112,4249,Directed,0.40372
3112,4885,Directed,0.287215
3112,4931,Directed,0.275236
3112,6112,Directed,0.389785
3113,3114,Directed,0.240294
3113,3115,Directed,0.23836
3113,3117,Directed,0.316787
3113,3119,Directed,0.282139
3113,3131,Directed,0.253083
3113,3151,Directed,0.378022
3113,3161,Directed,0.205831
3113,3256,Directed,0.2435
3113,3335,Directed,0.207729
3113,3352,Directed,0.200571
3113,4247,Directed,0.24419
3113,4531,Directed,0.221327
3113,5619,Directed,0.20089
3114,3112,Directed,0.356242
3114,3115,Directed,0.387998
3114,3117,Directed,0.367938
3114,3119,Directed,0.321782
3114,3121,Directed,0.216063
3114,3131,Directed,0.390487
3114,3132,Directed,0.276288
3114,3161,Directed,0.276288
