Source,Target,Type,Id,Label,timeset,Weight
812,115,Directed,3910,,,0.56142
813,212,Directed,3921,,,0.495072
811,212,Directed,3886,,,0.236645
721,212,Directed,3867,,,0.201297
813,311,Directed,3922,,,0.591823
812,311,Directed,3911,,,1.093315
813,312,Directed,3924,,,0.227199
811,311,Directed,3887,,,0.200433
711,212,Directed,3690,,,0.853027
711,213,Directed,3755,,,0.23377
811,313,Directed,3892,,,0.230224
813,315,Directed,3925,,,0.485618
812,315,Directed,3899,,,0.247702
813,316,Directed,3926,,,0.80219
812,316,Directed,3896,,,0.250918
812,321,Directed,3914,,,0.279321
813,325,Directed,3928,,,0.347392
811,325,Directed,3888,,,0.557485
813,327,Directed,3929,,,0.580418
721,238,Directed,3868,,,0.208721
812,331,Directed,3915,,,0.22266
811,331,Directed,3893,,,0.205098
813,334,Directed,3946,,,0.205689
813,335,Directed,3931,,,0.28999
813,336,Directed,3932,,,0.527093
721,312,Directed,3873,,,0.213552
722,315,Directed,3874,,,0.215903
713,311,Directed,3861,,,0.201816
712,311,Directed,3810,,,0.547063
711,311,Directed,3691,,,2.338138
611,212,Directed,3589,,,0.587962
711,312,Directed,3759,,,0.23615
711,313,Directed,3712,,,0.20509
722,325,Directed,3875,,,0.237392
711,315,Directed,3740,,,0.414146
712,316,Directed,3812,,,0.29977
711,316,Directed,3693,,,1.937245
813,423,Directed,3933,,,0.235633
711,322,Directed,3762,,,0.225364
813,424,Directed,3934,,,0.409763
812,424,Directed,3916,,,0.332673
712,325,Directed,3813,,,0.516883
711,325,Directed,3695,,,0.245197
722,336,Directed,3876,,,0.212175
711,327,Directed,3696,,,2.416396
712,331,Directed,3815,,,0.218915
711,331,Directed,3698,,,0.969795
711,332,Directed,3800,,,0.211714
713,334,Directed,3822,,,0.237703
711,333,Directed,3699,,,1.64618
712,334,Directed,3816,,,0.208372
711,334,Directed,3700,,,2.54602
712,335,Directed,3817,,,0.215587
711,335,Directed,3720,,,0.485473
712,336,Directed,3818,,,0.244722
711,336,Directed,3721,,,0.542129
813,442,Directed,3935,,,0.65581
813,451,Directed,3941,,,0.209871
811,451,Directed,3894,,,0.216951
813,453,Directed,3948,,,0.20714
812,453,Directed,3900,,,0.615932
562,221,Directed,3567,,,0.848764
551,212,Directed,3423,,,0.423574
541,212,Directed,3303,,,1.064827
813,485,Directed,3937,,,0.248026
812,487,Directed,3901,,,0.255145
533,212,Directed,3248,,,0.322464
532,212,Directed,3235,,,0.22647
533,213,Directed,3249,,,0.206529
531,212,Directed,3169,,,0.665911
525,211,Directed,3121,,,0.210403
525,212,Directed,3122,,,0.718784
523,212,Directed,2957,,,0.776639
522,212,Directed,2929,,,0.331008
531,221,Directed,3158,,,0.211449
521,212,Directed,2850,,,0.643727
521,213,Directed,2852,,,0.27684
621,316,Directed,3660,,,0.435795
523,221,Directed,2958,,,1.174909
512,212,Directed,2769,,,0.286652
521,221,Directed,2853,,,0.243861
611,311,Directed,3590,,,2.399454
512,213,Directed,2770,,,0.215232
611,312,Directed,3584,,,0.299075
611,313,Directed,3592,,,1.10518
722,424,Directed,3877,,,0.207009
611,315,Directed,3579,,,1.835629
611,316,Directed,3578,,,2.051797
622,327,Directed,3669,,,0.499718
813,521,Directed,3949,,,0.263091
812,521,Directed,3897,,,0.234788
813,523,Directed,3950,,,0.218421
812,523,Directed,3898,,,0.239336
711,423,Directed,3722,,,1.587963
712,424,Directed,3819,,,0.261981
711,424,Directed,3747,,,1.077717
523,237,Directed,2996,,,0.417368
611,325,Directed,3596,,,0.657925
621,335,Directed,3661,,,0.24888
621,336,Directed,3662,,,0.426165
521,237,Directed,2854,,,0.212662
611,327,Directed,3597,,,0.747967
722,441,Directed,3878,,,0.228052
611,331,Directed,3615,,,0.225113
812,532,Directed,3902,,,0.508802
611,332,Directed,3648,,,0.225159
812,533,Directed,3918,,,0.242864
611,334,Directed,3585,,,0.693282
488,212,Directed,2680,,,0.256285
611,335,Directed,3586,,,1.69508
487,212,Directed,2562,,,0.294028
611,336,Directed,3599,,,1.512621
